condition,horizon,n,winrate,mean_bps,median_bps,std_bps,net_exp,avg_win,avg_loss,kelly,t_stat,p_value,is_significant,sharpe,low_n,consistency,regime
final_score > +40,5,3485,54.89239598278336,0.41183278303298687,0.16462851575305137,2.951373713513056,-0.1881672169670131,1.9234212750067388,-1.427651176983417,0.2141147071545958,8.236368765407216,2.220446049250313e-16,True,0.13953935455458716,False,-1.0,MEAN_REVERT
final_score > +40,15,3485,51.82209469153515,0.2651427125136082,0.11750656935261006,5.226435633962998,-0.33485728748639176,3.256340738256184,-2.952310315771735,0.08142351609543041,2.9944230827760085,0.0027497820568083142,True,0.050731077752231124,False,-1.0,MEAN_REVERT
final_score > +40,60,3481,50.244182706118934,-0.22004136145677008,0.03005259203492372,9.786412964904324,-0.8200413614567701,5.903835534772032,-6.404025594426848,0.0,-1.3263874599668144,0.18471151582243084,False,-0.02248437320659514,False,-1.0,MEAN_REVERT
final_score < -40,5,3289,34.05290361812101,-0.4906838409544657,-0.2501548752975591,2.607100395911206,-1.0906838409544657,1.5084044686987474,-1.5229470529469038,0.0,-10.792198011415453,0.0,True,-0.18821056593141558,False,0.834254516013039,NOISE
final_score < -40,15,3289,42.07965947096382,-0.44907571458001283,-0.311470109251033,4.679786892905974,-1.0490757145800127,2.7074508546154066,-2.74232126406372,0.0,-5.502491715324308,3.753862753974602e-08,True,-0.0959607189081111,False,0.834254516013039,NOISE
final_score < -40,60,3289,48.130130738826395,-0.33829267742561414,-0.1624076491058002,8.553918038371034,-0.9382926774256142,5.248275956840331,-5.522078227274964,0.0,-2.267740817558262,0.02334493705293883,True,-0.03954827202085712,False,0.834254516013039,NOISE
action_hint = WATCH_LONG,5,18569,45.21514351876784,0.1048260401705269,0.0,2.617230633817959,-0.4951739598294731,1.65978782472885,-1.1785180218713174,0.06315628938153678,5.457701127501721,4.834879030468642e-08,True,0.04005227465093855,False,-1.0,MEAN_REVERT
action_hint = WATCH_LONG,15,18562,47.47333261501993,0.019334022327244106,0.0,4.612080284980556,-0.5806659776727559,2.8532826433850844,-2.5419742083149806,0.006776062782306975,0.571118255610603,0.5679194005178303,False,0.00419203941228131,False,-1.0,MEAN_REVERT
action_hint = WATCH_LONG,60,18539,46.453422514698744,-0.33344380333165136,-0.295923651697505,8.53128469628409,-0.9334438033316513,5.392770658112855,-5.301123761220246,0.0,-5.32156847644329,1.0309492037841039e-07,True,-0.039084828979729994,False,-1.0,MEAN_REVERT
action_hint = WATCH_SHORT,5,20176,40.02279936558287,-0.16161229552369857,0.0,2.4760907331323967,-0.7616122955236986,1.4817936597714576,-1.2582574561722717,0.0,-9.2707445793087,0.0,True,-0.06526913305767668,False,0.8360955421020997,NOISE
action_hint = WATCH_SHORT,15,20176,46.93695479777954,-0.1646637847736407,0.0,4.247961684224718,-0.7646637847736406,2.4821230799572316,-2.505881009600967,0.0,-5.5058487174642,3.683043825475352e-08,True,-0.0387630108306151,False,0.8360955421020997,NOISE
